"prfnmfct","prfnmplc","seatcnt","prfprocnt","prfdtcnt","totnmrs","year_q"
"예술의전당","CJ 토월극장","1004","0","102","12201","2015-1"
"예술의전당","리사이틀홀","354","80","81","26517","2015-1"
"예술의전당","콘서트홀","2527","76","80","137067","2015-1"
"예술의전당","자유소극장","241","3","75","8025","2015-1"
"예술의전당","IBK챔버홀","600","88","88","48469","2015-1"
"예술의전당","오페라극장","2283","4","62","27348","2015-1"
"신세계스퀘어 야외무대","신세계스퀘어 야외무대","1000","0","0","0","2015-1"
"인춘아트홀","인춘아트홀","130","0","0","0","2015-1"
"1101어린이라운지","1101어린이라운지","0","0","0","0","2015-1"
"서예박물관 ","서예박물관 ","0","0","0","0","2015-1"
"N스튜디오(국립예술단체공연연습장) 공용1","N스튜디오(국립예술단체공연연습장) 공용1","20","0","0","0","2015-1"
"구. LG아트센터","구. LG아트센터","1103","6","93","7772","2015-1"
"국립극장","하늘극장","627","4","77","4263","2015-1"
"국립극장","별오름극장","100","2","46","1791","2015-1"
"국립극장","해오름극장","1221","9","42","25185","2015-1"
"국립극장","달오름극장","512","3","59","2774","2015-1"
"연습실","연습실","0","0","0","0","2015-1"
"국립극단 [명동]","명동예술극장","558","4","46","22485","2015-1"
"국립정동극장","국립정동극장","326","0","43","3297","2015-1"
"정동마루","정동마루","60","0","0","0","2015-1"
"국립중앙박물관 극장 용","국립중앙박물관 극장 용","805","5","31","4888","2015-1"
"국립국악원","예악당","706","3","4","54","2015-1"
"국립국악원","우면당","231","2","3","6","2015-1"
"국립국악원","풍류사랑방","130","4","8","51","2015-1"
"연희마당","연희마당","700","0","0","0","2015-1"
"진악당(폐관)","진악당(폐관)","600","0","0","0","2015-1"
"충무아트센터","소극장 블루","218","0","2","2","2015-1"
"충무아트센터","대공연장","1255","2","13","88","2015-1"
"중극장 블랙","중극장 블랙","325","0","0","0","2015-1"
"컨벤션센터","컨벤션센터","200","0","0","0","2015-1"
"세종문화회관","세종대극장","3022","3","4","154","2015-1"
"세종체임버홀","세종체임버홀","443","0","0","0","2015-1"
"세종M씨어터","세종M씨어터","609","0","0","0","2015-1"
"세종S씨어터","세종S씨어터","300","0","0","0","2015-1"
"뜨락(야외공간)(폐관)","뜨락(야외공간)(폐관)","0","0","0","0","2015-1"
"세종예술아카데미(스퀘어홀)","세종예술아카데미(스퀘어홀)","94","0","0","0","2015-1"
"세종예술아카데미(서클홀)","세종예술아카데미(서클홀)","50","0","0","0","2015-1"
"세종예술아카데미(오픈스테이지)","세종예술아카데미(오픈스테이지)","100","0","0","0","2015-1"
"강북문화예술회관","대공연장","668","1","2","312","2015-1"
"CJ아지트 대학로 (구. SM아트홀)","CJ아지트 대학로 (구. SM아트홀)","190","0","6","12","2015-1"
"동서울아트홀","동서울아트홀","234","1","34","760","2015-1"
"JTN 아트홀(구. 대학로예술마당)","2관","210","0","7","100","2015-1"
"JTN 아트홀(구. 대학로예술마당)","1관","230","1","6","239","2015-1"
"JTN 아트홀(구. 대학로예술마당)","4관","208","0","71","269","2015-1"
"JTN 아트홀(구. 대학로예술마당)","3관","208","0","19","48","2015-1"
"한성아트홀(구. 인켈아트홀)","2관","155","0","83","396","2015-1"
"1관","1관","245","0","0","0","2015-1"
"게릴라극장 (폐관)","게릴라극장 (폐관)","75","3","15","24","2015-1"
"김동수플레이하우스 (폐관)","김동수플레이하우스 (폐관)","200","0","1","2","2015-1"
"암사어린이극장","암사어린이극장","250","2","37","969","2015-1"
"한양레퍼토리씨어터","한양레퍼토리씨어터","0","0","6","58","2015-1"
"소리아트홀","1관","240","0","32","109","2015-1"
"소리아트홀","2관","188","1","34","243","2015-1"
"소리아트홀","3관","179","1","32","167","2015-1"
"경복궁아트홀","경복궁아트홀","180","2","4","137","2015-1"
"4관","4관","347","0","0","0","2015-1"
"경향아트힐","6관","174","1","8","25","2015-1"
"경향아트힐","1관","292","0","19","449","2015-1"
"2관","2관","327","0","0","0","2015-1"
"썬앤문전용관","썬앤문전용관","300","0","0","0","2015-1"
"5관","5관","212","0","0","0","2015-1"
"프라임아트홀","프라임아트홀","400","3","6","6","2015-1"
"파랑새극장(구. 샘터파랑새극장)","1관","180","1","91","347","2015-1"
"미마지아트센터","물빛극장","0","0","36","108","2015-1"
"미마지아트센터","풀빛극장(오아시스극장)","0","1","37","98","2015-1"
"눈빛극장","눈빛극장","282","0","0","0","2015-1"
"창동문화체육센터","공연장","188","1","6","61","2015-1"
"미아리고개예술극장(구 미아리예술극장)","미아리고개예술극장(구 미아리예술극장)","90","1","1","2","2015-1"
"라이브 썸데이즈홀 (구. 이수ENT)","이수아트홀 (폐관)","200","0","24","128","2015-1"
"라이브 썸데이즈홀 (구. 이수ENT)","라이브 썸데이즈홀 (구. 이수스타홀)","146","3","31","386","2015-1"
"선돌극장","선돌극장","130","2","13","68","2015-1"
"아티스탄홀","아티스탄홀","300","0","54","211","2015-1"
"시네코아 쉐프 전용관(구. 시네코아 비밥 전용관)","시네코아 쉐프 전용관(구. 시네코아 비밥 전용관)","378","0","16","331","2015-1"
"동숭아트센터 (폐관)","소극장 (폐관)","161","1","27","2202","2015-1"
"동숭아트센터 (폐관)","동숭홀 (폐관)","452","0","23","50","2015-1"
"동숭아트센터 (폐관)","꼭두소극장 (폐관)","151","1","6","653","2015-1"
"금호아트홀 (폐관)","금호아트홀 (폐관)","390","3","3","41","2015-1"
"문호아트홀 (폐관)","문호아트홀 (폐관)","210","0","0","0","2015-1"
"두산아트센터","Space111","0","9","45","2610","2015-1"
"두산아트센터","연강홀","622","1","71","1407","2015-1"
"로비","로비","0","0","0","0","2015-1"
"씨어터조이 (구. 마당세실극장)","씨어터조이 (구. 마당세실극장)","80","2","48","175","2015-1"
"북촌아트홀","북촌아트홀","140","1","12","42","2015-1"
"소극장 축제","소극장 축제","130","1","60","237","2015-1"
"대학로극장 (폐관)","대학로극장 (폐관)","150","0","20","57","2015-1"
"열린극장","열린극장","160","0","1","3","2015-1"
"연우소극장","연우소극장","80","2","4","7","2015-1"
"동덕여대공연예술센터","코튼홀","430","2","2","31","2015-1"
"북촌나래홀","북촌나래홀","160","2","6","5","2015-1"
"NH아트홀 판타스틱 전용관","NH아트홀 판타스틱 전용관","405","0","9","755","2015-1"
"올래홀","올래홀","175","1","76","238","2015-1"
"학전","블루소극장","194","1","22","98","2015-1"
"그린소극장(폐관)","그린소극장(폐관)","180","0","0","0","2015-1"
"파랑씨어터 (구. 도향아트홀, 뮤디스홀)","파랑씨어터 (구. 도향아트홀, 뮤디스홀)","163","2","11","22","2015-1"
"상명아트홀","1관","176","1","10","28","2015-1"
"2관","2관","94","0","0","0","2015-1"
"대학로 마로니에소극장(플레이더씨어터)","대학로 마로니에소극장(플레이더씨어터)","130","0","15","50","2015-1"
"대학로단막극장","대학로단막극장","66","0","17","45","2015-1"
"금나래아트홀","금나래아트홀","552","1","2","439","2015-1"
"대학로 자유극장 (자유문화발전소)","대학로 자유극장 (자유문화발전소)","233","1","7","12","2015-1"
"마포아트센터","아트홀맥","733","4","5","1335","2015-1"
"플레이맥","플레이맥","201","0","0","0","2015-1"
"스튜디오3","스튜디오3","120","0","0","0","2015-1"
"라트어린이극장","라트어린이극장","200","1","3","52","2015-1"
"63아트홀","63아트홀","467","0","2","5","2015-1"
"산울림소극장","산울림소극장","100","1","11","51","2015-1"
"틴틴홀","틴틴홀","228","0","95","257","2015-1"
"피카소소극장","1관","109","1","6","134","2015-1"
"대학로아트원씨어터","1관","365","2","14","14","2015-1"
"대학로아트원씨어터","2관","250","3","29","1962","2015-1"
"3관","3관","158","0","0","0","2015-1"
"콘텐츠박스(구. 르메이에르 씨어터)","콘텐츠박스(구. 르메이에르 씨어터)","197","0","50","127","2015-1"
"하람홀","하람홀","189","0","0","0","2015-1"
"다온홀","다온홀","318","0","0","0","2015-1"
"명보아트홀","가온홀","333","1","9","396","2015-1"
"라온홀","라온홀","334","0","0","0","2015-1"
"와일드와일드 전용관","와일드와일드 전용관","294","0","0","0","2015-1"
"남산예술센터 (폐관)","드라마센터 (폐관)","356","1","9","218","2015-1"
"북촌창우극장","북촌창우극장","100","1","2","19","2015-1"
"JH아트홀","JH아트홀","155","1","20","56","2015-1"
"1관","1관","150","0","0","0","2015-1"
"강남아트홀","2관","120","1","1","2","2015-1"
"소극장 혜화당(구. 까망소극장)","소극장 혜화당(구. 까망소극장)","105","0","4","22","2015-1"
"여우별씨어터(구. 내여페 The Stage) (폐관)","여우별씨어터(구. 내여페 The Stage) (폐관)","170","0","69","412","2015-1"
"동양예술극장(구. 아트센터K)","1관(네모극장)","221","0","32","65","2015-1"
"3관(세모극장)","3관(세모극장)","162","0","0","0","2015-1"
"2관(동그라미극장)","2관(동그라미극장)","200","0","0","0","2015-1"
"대학로 스카이씨어터","대학로 스카이씨어터 1관","160","0","58","282","2015-1"
"대학로 스카이씨어터 2관(5층 구 JK아트홀)","대학로 스카이씨어터 2관(5층 구 JK아트홀)","140","0","0","0","2015-1"
"아름다운극장","아름다운극장","100","1","3","5","2015-1"
"예술공간 유비누리 앱질 전용관","예술공간 유비누리 앱질 전용관","115","0","18","48","2015-1"
"예술공간 혜화","예술공간 혜화","100","0","3","6","2015-1"
"내유외강씨어터(구. 익스트림씨어터 1관)","내유외강씨어터(구. 익스트림씨어터 1관)","177","1","17","64","2015-1"
"댕로홀","댕로홀","83","0","27","77","2015-1"
"라이프 씨어터","라이프 씨어터","136","1","33","90","2015-1"
"SJ비보이극장(구. 비보이전용극장)","SJ비보이극장(구. 비보이전용극장)","356","0","3","429","2015-1"
"삼형제극장(환상극장)","삼형제극장(환상극장)","130","0","71","193","2015-1"
"청년극장 (구. 대학로 아트홀 1관 구. 서울문화예술대학교 대학로 극장)","청년극장 (구. 대학로 아트홀 1관 구. 서울문화예술대학교 대학로 극장)","114","0","12","31","2015-1"
"설치극장 정미소 (폐관)","설치극장 정미소 (폐관)","168","2","7","10","2015-1"
"국립정동극장 세실 (구.세실극장)","국립정동극장 세실 (구.세실극장)","234","1","1","2","2015-1"
"소극장 다르게놀자","소극장 다르게놀자","100","0","27","80","2015-1"
"소극장 시월 (폐관)","소극장 시월 (폐관)","120","1","7","11","2015-1"
"소월아트홀(성동문화회관)","소월아트홀(성동문화회관)","520","1","4","9","2015-1"
"스튜디오76(구 이랑씨어터)","스튜디오76(구 이랑씨어터)","210","1","22","50","2015-1"
"아트씨어터 문(안톤체홉극장)","아트씨어터 문(안톤체홉극장)","0","1","16","23","2015-1"
"R&J씨어터(구. 연진아트홀)","R&J씨어터(구. 연진아트홀)","130","0","17","35","2015-1"
"예술공간 서울","예술공간 서울","120","2","27","285","2015-1"
"예술공간 오르다(구. 우석레파토리극장)","예술공간 오르다(구. 우석레파토리극장)","102","1","15","281","2015-1"
"우리네 극장","우리네 극장","100","0","51","190","2015-1"
"구 사춤전용관(낙원상가) (폐관)","구 사춤전용관(낙원상가) (폐관)","370","0","7","138","2015-1"
"지즐소극장","지즐소극장","84","1","1","2","2015-1"
"충정로난타전용관 (폐관)","충정로난타전용관 (폐관)","554","0","1","123","2015-1"
"달밤엔씨어터 (구. 푸른달극장)","달밤엔씨어터 (구. 푸른달극장)","98","1","4","5","2015-1"
"정극장 (구. M시어터, 구.하모니아트홀)","정극장 (구. M시어터, 구.하모니아트홀)","120","0","69","479","2015-1"
"바탕골소극장","바탕골소극장","192","0","89","309","2015-1"
"브릭스씨어터 (구. 콘텐츠 그라운드 구. 브로드웨이아트홀 [3관])","브릭스씨어터 (구. 콘텐츠 그라운드 구. 브로드웨이아트홀 [3관])","202","1","32","518","2015-1"
"서완소극장(구. 씨어터고리)","서완소극장(구. 씨어터고리)","107","1","13","21","2015-1"
"동숭무대소극장","동숭무대소극장","120","1","4","6","2015-1"
"달빛극장","달빛극장","96","2","10","28","2015-1"
"KT체임버홀","KT체임버홀","403","1","1","43","2015-1"
"명작극장 (구 아츠플레이씨어터)","명작극장 (구 아츠플레이씨어터)","173","1","66","490","2015-1"
"명작극장(구. 명작극장 2관)","명작극장(구. 명작극장 2관)","203","0","0","0","2015-1"
"컬쳐씨어터(구. 휴먼시어터)","컬쳐씨어터(구. 휴먼시어터)","120","0","46","168","2015-1"
"홍익대 대학로 아트센터","대극장","702","1","36","456","2015-1"
"소극장","소극장","150","0","0","0","2015-1"
"공간아울","공간아울","172","1","62","195","2015-1"
"소극장 꿈꾸는 공작소","소극장 꿈꾸는 공작소","80","0","1","1","2015-1"
"예그린씨어터","예그린씨어터","202","2","2","6","2015-1"
"대학로 뮤지컬센터","대극장","1042","0","10","34","2015-1"
"중극장","중극장","528","0","0","0","2015-1"
"대학로 뮤지컬센터","공간 피꼴로","275","0","16","32","2015-1"
"최일화 스튜디오","최일화 스튜디오","50","1","8","43","2015-1"
"서강대 메리홀","대극장","428","1","1","0","2015-1"
"서강대 메리홀","소극장","100","1","3","51","2015-1"
"드림시어터 [대학로]","드림시어터 [대학로]","125","0","73","237","2015-1"
"더초콜릿 전용관 (폐관)","더초콜릿 전용관 (폐관)","100","0","7","12","2015-1"
"플렉스라운지 (구. 스테이라운지, 인디팍)","플렉스라운지 (구. 스테이라운지, 인디팍)","150","1","90","484","2015-1"
"극장 동국","극장 동국","84","1","1","2","2015-1"
"순위아트홀1관 [대학로]","순위아트홀1관 [대학로]","221","2","35","68","2015-1"
"대학로 위로홀(구. 몬스터홀)","대학로 위로홀(구. 몬스터홀)","123","1","3","6","2015-1"
"하마씨어터(구. 가든씨어터)","하마씨어터(구. 가든씨어터)","190","1","1","1","2015-1"
"유니플렉스","1관(대극장)","600","1","5","26","2015-1"
"유니플렉스","2관(중극장)","300","1","18","372","2015-1"
"3관(소극장)","3관(소극장)","200","0","0","0","2015-1"
"대학로 A아트홀(구. 신연아트홀)","대학로 A아트홀(구. 신연아트홀)","162","1","30","111","2015-1"
"1관","1관","406","0","0","0","2015-1"
"예스24 스테이지(구. DCF대명문화공장)","2관","301","1","1","4","2015-1"
"예스24 스테이지(구. DCF대명문화공장)","3관(구. 수현재씨어터)","255","0","17","50","2015-1"
"KSPO DOME(체조경기장)","KSPO DOME(체조경기장)","15000","0","0","0","2015-1"
"SK핸드볼경기장(펜싱경기장)","SK핸드볼경기장(펜싱경기장)","5003","0","0","0","2015-1"
"올림픽공원","올림픽홀","2432","1","1","2","2015-1"
"뮤즈라이브","뮤즈라이브","237","0","0","0","2015-1"
"우리금융아트홀(역도경기장)","우리금융아트홀(역도경기장)","1184","0","0","0","2015-1"
"K-아트홀","K-아트홀","500","0","0","0","2015-1"
"야외(88잔디마당)","야외(88잔디마당)","10000","0","0","0","2015-1"
"야외(수변무대)","야외(수변무대)","1000","0","0","0","2015-1"
"벨로드롬(경륜경기장)","벨로드롬(경륜경기장)","6000","0","0","0","2015-1"
"평화광장","평화광장","0","0","0","0","2015-1"
"일대","일대","0","0","0","0","2015-1"
"더 씨어터","더 씨어터","96","1","13","60","2015-1"
"해오름 예술극장","해오름 예술극장","170","2","1","1","2015-1"
"순위아트홀(구. 네오아트홀) [강남]","순위아트홀(구. 네오아트홀) [강남]","216","1","2","4","2015-1"
"문화공간 엘림홀","문화공간 엘림홀","230","1","1","1","2015-1"
"페인터즈 히어로 종로전용관(서울극장)","페인터즈히어로 전용관","488","1","1","2","2015-1"
"노을소극장","노을소극장","80","2","4","6","2015-1"
"동화소극장","동화소극장","60","1","2","3","2015-1"
"오씨어터","오씨어터","115","0","4","13","2015-1"
"소울소극장","소울소극장","50","1","1","2","2015-1"
"해피씨어터","해피씨어터","250","0","17","70","2015-1"
"GBB스페이스홀(구. 임혁필소극장)","GBB스페이스홀(구. 임혁필소극장)","100","0","1","0","2015-1"
"플러스씨어터(구. 컬처스페이스 엔유 구. 쁘티첼 씨어터)","플러스씨어터(구. 컬처스페이스 엔유 구. 쁘티첼 씨어터)","359","1","6","6","2015-1"
"민송아트홀 (구. 브로드웨이아트홀)","1관","272","0","151","740","2015-1"
"민송아트홀 (구. 브로드웨이아트홀)","2관","194","0","36","192","2015-1"
"이수아트홀 [대학로] (폐관)","이수아트홀 [대학로] (폐관)","204","1","24","72","2015-1"
"에이치씨어터","익스트림씨어터 2관","180","1","46","112","2015-1"
"익스트림씨어터 3관","익스트림씨어터 3관","130","0","58","210","2015-1"
"마로니에공원","야외공연장","0","1","17","72","2015-1"
"다목적홀","다목적홀","300","0","0","0","2015-1"
"아르코예술극장","대극장","600","11","55","20170","2015-1"
"아르코예술극장","소극장","110","19","104","8486","2015-1"
"아르코예술극장","3층 테라스","0","1","4","57","2015-1"
"아르코예술극장","1층 로비","0","1","21","11","2015-1"
"스튜디오 다락","스튜디오 다락","0","0","0","0","2015-1"
"대학로예술극장","대극장","504","4","69","11736","2015-1"
"대학로예술극장","소극장","132","12","55","5169","2015-1"
"대학로예술극장","3관 [폐관]","163","1","2","300","2015-1"
"예술가의 집","예술가의 집","100","1","2","29","2015-1"
"후암스테이지","1관 (구. 마라카 3관, 오씨어터)","115","0","6","14","2015-1"
"2관","2관","0","0","0","0","2015-1"
"후암씨어터(콘텐츠룸)","후암씨어터(콘텐츠룸)","209","3","7","12","2015-1"
"타이니앨리스","타이니앨리스","144","0","18","37","2015-1"
"아스가르드 씨어터(구. 낙산씨어터)","아스가르드 씨어터(구. 낙산씨어터)","100","0","31","90","2015-1"
"스튜디오 다락","스튜디오 다락","120","1","1","40","2015-1"
"예술의전당","CJ 토월극장","1004","10","36","16994","2015-2"
"예술의전당","리사이틀홀","354","112","112","35750","2015-2"
"예술의전당","콘서트홀","2527","94","101","170318","2015-2"
"예술의전당","자유소극장","241","8","73","10025","2015-2"
"예술의전당","IBK챔버홀","600","108","108","55820","2015-2"
"예술의전당","오페라극장","2283","12","39","56016","2015-2"
"신세계스퀘어 야외무대","신세계스퀘어 야외무대","1000","0","0","0","2015-2"
"인춘아트홀","인춘아트홀","130","0","0","0","2015-2"
"1101어린이라운지","1101어린이라운지","0","0","0","0","2015-2"
"서예박물관 ","서예박물관 ","0","0","0","0","2015-2"
"N스튜디오(국립예술단체공연연습장) 공용1","N스튜디오(국립예술단체공연연습장) 공용1","20","0","0","0","2015-2"
"구. LG아트센터","구. LG아트센터","1103","20","58","13532","2015-2"
"국립극장","하늘극장","627","11","41","11404","2015-2"
"국립극장","별오름극장","100","8","46","1350","2015-2"
"국립극장","해오름극장","1221","15","32","15287","2015-2"
"국립극장","달오름극장","512","9","42","15162","2015-2"
"연습실","연습실","0","0","0","0","2015-2"
"국립극단 [명동]","명동예술극장","558","3","44","10519","2015-2"
"국립정동극장","국립정동극장","326","1","154","15412","2015-2"
"정동마루","정동마루","60","0","0","0","2015-2"
"국립중앙박물관 극장 용","국립중앙박물관 극장 용","805","11","69","8752","2015-2"
"국립국악원","예악당","706","9","21","9746","2015-2"
"국립국악원","우면당","231","10","26","5322","2015-2"
"국립국악원","풍류사랑방","130","8","43","3750","2015-2"
"국립국악원","연희마당","700","1","6","1761","2015-2"
"진악당(폐관)","진악당(폐관)","600","0","0","0","2015-2"
"소극장 블루","소극장 블루","218","0","0","0","2015-2"
"충무아트센터","대공연장","1255","0","4","13","2015-2"
"중극장 블랙","중극장 블랙","325","0","0","0","2015-2"
"컨벤션센터","컨벤션센터","200","0","0","0","2015-2"
"세종문화회관","세종대극장","3022","2","7","6","2015-2"
"세종문화회관","세종체임버홀","443","2","2","22","2015-2"
"세종M씨어터","세종M씨어터","609","0","0","0","2015-2"
"세종S씨어터","세종S씨어터","300","0","0","0","2015-2"
"뜨락(야외공간)(폐관)","뜨락(야외공간)(폐관)","0","0","0","0","2015-2"
"세종예술아카데미(스퀘어홀)","세종예술아카데미(스퀘어홀)","94","0","0","0","2015-2"
"세종예술아카데미(서클홀)","세종예술아카데미(서클홀)","50","0","0","0","2015-2"
"세종예술아카데미(오픈스테이지)","세종예술아카데미(오픈스테이지)","100","0","0","0","2015-2"
"강북문화예술회관","대공연장","668","1","6","886","2015-2"
"관악아트홀(구. 관악문화관)","관악아트홀(구. 관악문화관)","698","1","1","0","2015-2"
"소공연장","소공연장","167","0","0","0","2015-2"
"나루아트센터","대공연장","601","3","31","1445","2015-2"
"갤러리(전시실)","갤러리(전시실)","0","0","0","0","2015-2"
"유시어터","유시어터","229","1","4","30","2015-2"
"KT&G 상상마당 대치아트홀","KT&G 상상마당 대치아트홀","422","1","1","2","2015-2"
"1관","1관","260","0","0","0","2015-2"
"윤당아트홀","2관","150","0","1","1","2015-2"
"호원아트홀","호원아트홀","462","1","1","143","2015-2"
"홍대난타극장(구. 뮤직쇼웨딩 전용관)","홍대난타극장(구. 뮤직쇼웨딩 전용관)","323","0","1","145","2015-2"
"양천문화회관","대극장","684","1","1","0","2015-2"
"해누리홀","해누리홀","406","0","0","0","2015-2"
"해바라기홀","해바라기홀","230","0","0","0","2015-2"
"한전아트센터","한전아트센터","999","1","1","2","2015-2"
"동서울아트홀","동서울아트홀","234","2","21","148","2015-2"
"2관","2관","210","0","0","0","2015-2"
"JTN 아트홀(구. 대학로예술마당)","1관","230","3","17","28","2015-2"
"4관","4관","208","0","0","0","2015-2"
"3관","3관","208","0","0","0","2015-2"
"한성아트홀(구. 인켈아트홀)","2관","155","2","74","227","2015-2"
"한성아트홀(구. 인켈아트홀)","1관","245","1","8","15","2015-2"
"게릴라극장 (폐관)","게릴라극장 (폐관)","75","2","13","35","2015-2"
"나온씨어터","나온씨어터","95","1","59","112","2015-2"
"암사어린이극장","암사어린이극장","250","2","26","461","2015-2"
"소리아트홀","1관","240","1","3","8","2015-2"
"소리아트홀","2관","188","1","34","371","2015-2"
"소리아트홀","3관","179","3","26","230","2015-2"
"경복궁아트홀","경복궁아트홀","180","1","3","6","2015-2"
"청운예술극장(구. 글로브극장)","청운예술극장(구. 글로브극장)","110","1","2","2","2015-2"
"4관","4관","347","0","0","0","2015-2"
"6관","6관","174","0","0","0","2015-2"
"경향아트힐","1관","292","0","17","581","2015-2"
"2관","2관","327","0","0","0","2015-2"
"썬앤문전용관","썬앤문전용관","300","0","0","0","2015-2"
"5관","5관","212","0","0","0","2015-2"
"프라임아트홀","프라임아트홀","400","3","68","290","2015-2"
"파랑새극장(구. 샘터파랑새극장)","1관","180","0","103","435","2015-2"
"미마지아트센터","물빛극장","0","0","9","17","2015-2"
"미마지아트센터","풀빛극장(오아시스극장)","0","0","27","114","2015-2"
"눈빛극장","눈빛극장","282","0","0","0","2015-2"
"창동문화체육센터","공연장","188","1","2","0","2015-2"
"중랑구민회관","대공연장","494","2","7","720","2015-2"
"소공연장","소공연장","120","0","0","0","2015-2"
"미아리고개예술극장(구 미아리예술극장)","미아리고개예술극장(구 미아리예술극장)","90","1","1","1","2015-2"
"이수아트홀 (폐관)","이수아트홀 (폐관)","200","0","0","0","2015-2"
"라이브 썸데이즈홀 (구. 이수ENT)","라이브 썸데이즈홀 (구. 이수스타홀)","146","0","90","376","2015-2"
"선돌극장","선돌극장","130","3","27","79","2015-2"
"티오엠씨어터(구. 문화공간필링)","1관","335","0","16","689","2015-2"
"티오엠씨어터(구. 문화공간필링)","2관","249","1","22","65","2015-2"
"연습실A","연습실A","0","0","0","0","2015-2"
"시네코아 쉐프 전용관(구. 시네코아 비밥 전용관)","시네코아 쉐프 전용관(구. 시네코아 비밥 전용관)","378","0","36","2506","2015-2"
"영산아트홀","영산아트홀","598","3","3","30","2015-2"
"동숭아트센터 (폐관)","소극장 (폐관)","161","5","39","4037","2015-2"
"동숭아트센터 (폐관)","동숭홀 (폐관)","452","1","63","429","2015-2"
"동숭아트센터 (폐관)","꼭두소극장 (폐관)","151","1","75","6195","2015-2"
"콘텐츠룸(7층 구 마리카1관, SM스타홀)","콘텐츠룸(7층 구 마리카1관, SM스타홀)","209","0","0","0","2015-2"
"대학로스타시티","타이니앨리스 (B1 구 아트홀 마리카2관)","0","1","8","70","2015-2"
"후암스테이지 1관(B2 구 마리카3관, 구 오씨어터)","후암스테이지 1관(B2 구 마리카3관, 구 오씨어터)","115","0","0","0","2015-2"
"후암스튜디오 (6층)","후암스튜디오 (6층)","170","0","0","0","2015-2"
