"mt10id","adres","la","lo"
"FC001419","서울 종로구 종로1길 50 (중학동)더케이트윈타워","37.5827026","127.00360520000004"
"FC001562","서울특별시 종로구 창경궁로27길 27-6 (명륜3가)","37.5828938","126.99629090000008"
"FC002702","서울특별시 종로구 율곡로3길 17 (송현동)","37.5764228","126.9825926"
"FC000098","서울특별시 종로구 대학로12길 69 (동숭동)","37.5809629","127.00394989999995"
"FC002066","서울특별시 종로구 성균관로 87 (명륜1가)","37.5899799","126.9982926"
"FC002014","서울특별시 종로구 대학로10길 26 (동숭동)","37.5816078","127.0037224"
"FC002003","서울특별시 종로구 청계천로 279 (종로6가)","37.5703955","127.0089108"
"FC001575","서울특별시 종로구 창경궁로35길 29 (혜화동) JCC 아트센터","37.5869508","127.00172670000006"
"FC003368","서울특별시 종로구 창경궁로35길 45(혜화동)","37.5879475","127.0021409"
"FC001073","서울특별시 종로구 대학로8가길 64 (동숭동)","37.5829375","127.00304389999997"
"FC001859","서울특별시 종로구 동숭길 94 (동숭동)","37.5824158","127.00432799999999"
"FC000139","서울특별시 종로구 이화장길 26 (이화동) ","37.5767066","127.00376210000002"
"FC002685","서울특별시 종로구 인사동길 7 (인사동)","37.5715579","126.9868358"
"FC001585","서울특별시 종로구 인사동길 34-1 (관훈동)","37.573858","126.9856095"
"FC001142","서울특별시 종로구 낙산길 14 (동숭동)","37.5802937","127.00526530000002"
"FC001384","서울특별시 종로구 동숭길 25 (동숭동)","37.5798541","127.0035752"
"FC001461","서울특별시 종로구 대학로 89 - 0 대학로SJA빌딩","37.5791922","127.00179750000007"
"FC001845","서울특별시 종로구 동숭3길 30 (동숭동)","37.5822989","127.00477669999998"
"FC000353","서울특별시 종로구 대학로3길 9 (연지동)","37.5738297","127.0013212"
"FC002360","서울특별시 종로구 삼청로 143 (삼청동) ","37.5882629","126.9815129"
"FC002413","서울특별시 종로구 자하문로6길 10 (통의동) ","37.5780151","126.9726717"
"FC000163","서울특별시 종로구 혜화로6길 9 (혜화동)","37.5874116","127.00043549999998"
"FC002710","서울특별시 종로구 사직로 161 (세종로)","37.5759041","126.9768421"
"FC000194","서울특별시 종로구 자하문로 82 (효자동)","37.5833005","126.97069980000003"
"FC002022","서울특별시 종로구 북촌로 106 (계동)","37.5868329","126.9869026"
"FC001209","서울특별시 종로구 대학로 120 (동숭동)","37.5818372","127.00227960000007"
"FC002465","서울특별시 종로구 대학로 116 (동숭동)","37.5815466","127.0023412"
"FC002271","서울특별시 종로구 세종대로 지하 172 (세종로)","37.5724335","126.9769029"
"FC001177","서울특별시 종로구 인왕산로1길 21 (사직동)","37.5742102","126.96464839999999"
"FC001152","서울시 종로구 낙원동 284-6 낙원빌딩 5층 502","37.5725341","126.98779020000006"
"FC002469","서울특별시 종로구 동숭길 122-6 (동숭동)","37.583435","127.0040169"
"FC001240","서울특별시 종로구 대학로 144 (혜화동)","37.586755","127.00035539999999"
"FC001226","서울특별시 종로구 창경궁로 259","37.58451489999999","127.0000258"
"FC003178","서울특별시 종로구 율곡로 228(이화동)","37.5757965","127.003949"
"FC000391","서울특별시 종로구 새문안로 75 (신문로1가) 대우건설 3층","37.57059","126.97291399999995"
"FC000177","서울특별시 종로구 대학로 60","37.5765550506501","127.002562967917"
"FC000180","서울특별시 종로구 혜화로9길 7 (명륜1가)","37.5876677","126.99939259999996"
"FC001324","서울특별시 종로구 삼일대로 428 (낙원동) 낙원상가 5층","37.5728218","126.98803350000003"
"FC001842","서울특별시 종로구 대학로 146 (혜화동)","37.5842128","127.0020237"
"FC001342","서울특별시 종로구 삼일대로 428 (낙원동)","37.5725341","126.98779020000006"
