기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,주중_매출_비율,주말_매출_비율,월요일_매출_비율,화요일_매출_비율,수요일_매출_비율,목요일_매출_비율,금요일_매출_비율,토요일_매출_비율,일요일_매출_비율,시간대_00~06_매출_비율,시간대_06~11_매출_비율,시간대_11~14_매출_비율,시간대_14~17_매출_비율,시간대_17~21_매출_비율,시간대_21~24_매출_비율,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율,연령대_40_매출_비율,연령대_50_매출_비율,연령대_60_이상_매출_비율,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,점포수
2021,1,D,발달상권,1001240,혜화역 대학로_1,CS300032,가전제품,691268708 ,2120 ,52,48,20,10,9,6,6,37,11,0,0,16,63,22,0,79,21,1,28,31,25,12,3,359342693,331926015,135881697,72190464,63860085,44131664,43278783,253940397,77985618,0,0,110022886,432398361,148847461,0,548282538,142986170,6137785,195251843,214349463,169817064,82675226,23037327,1243,877,345,234,271,135,258,594,283,0,0,407,1010,703,0,1599,521,25,671,669,408,223,124,2
2021,1,D,발달상권,1001240,혜화역 대학로_1,CS300028,화초,110875396 ,5878 ,48,52,7,9,11,8,14,28,25,0,5,23,28,43,2,43,57,2,43,27,11,12,4,52962749,57912647,7231383,9597571,11754532,9208578,15170685,30793171,27119476,0,5181094,24952562,30852262,47529858,2359620,47457943,62755575,1845036,47734530,30113439,12550253,13231564,4738696,2798,3080,389,481,700,490,738,1636,1444,0,205,1254,1748,2556,115,2313,3543,126,2815,1579,586,598,152,2
2021,1,D,발달상권,1001240,혜화역 대학로_1,CS300019,의료기기,1545589137 ,232 ,100,0,90,0,2,7,1,0,0,0,0,53,47,0,0,100,0,0,0,0,64,1,35,1545589137,0,1390186542,0,34676465,109167308,11558822,0,0,0,0,818471713,727117424,0,0,1545589137,0,0,0,0,992233077,14964546,538391514,232,0,164,0,23,22,23,0,0,0,0,186,46,0,0,232,0,0,0,0,164,23,45,4
2021,1,D,발달상권,1001240,혜화역 대학로_1,CS300018,의약품,1468068026 ,28781 ,97,4,25,20,13,20,19,3,1,0,1,69,23,7,0,87,13,0,7,6,29,30,28,1415977264,52090762,372569363,287292251,193282590,286519263,276313797,36820236,15270526,0,19225743,1011594263,333886489,101223302,2138229,1276506293,191561733,1363915,99707770,88682148,426870287,437314958,414128948,22622,6159,5330,4488,3988,4175,4641,3970,2189,0,2444,6975,8425,10751,186,8122,20659,214,11202,7908,4073,3732,1652,3
2021,1,D,발달상권,1001240,혜화역 대학로_1,CS300016,안경,110325354 ,1783 ,70,30,12,12,16,14,15,19,12,0,4,18,34,44,1,27,73,1,56,23,8,10,3,77003067,33322287,13686310,13329493,17437299,15550124,16999841,20538880,12783407,0,4672561,19460508,37013594,48649270,529421,29723889,80601465,738545,61796896,25246608,8305334,11506348,2731623,1256,527,217,244,282,250,263,297,230,0,66,321,639,750,7,426,1357,21,1058,333,145,186,40,1
2021,1,D,발달상권,1001240,혜화역 대학로_1,CS300011,일반의류,1593336714 ,37266 ,53,47,14,9,9,10,12,20,27,18,0,14,25,39,5,42,58,1,20,24,16,17,23,847586157,745750557,225931087,143267459,135618471,158936515,183832625,310682073,435068484,280929606,674661,227028064,394772847,615078653,74852883,668687233,924649481,13659257,322046450,385663079,247498561,266009211,358460156,23766,13500,4358,4441,4652,4617,5698,7541,5959,78,19,8153,12096,16352,568,12267,24999,470,10996,8042,7454,7078,3226,19
2021,1,D,발달상권,1001240,혜화역 대학로_1,CS300002,편의점,1098351645 ,206149 ,71,29,13,14,15,13,16,15,14,5,13,15,16,30,21,56,42,2,33,28,15,14,6,776593033,321758612,139771234,152606182,160619893,143153749,180441975,168826851,152931761,57401536,143172161,161084026,180670449,331022680,225000793,611863356,458663614,17938774,361391759,307287155,166079808,153118794,64710676,143962,62187,25237,29169,31489,26692,31375,33077,29110,7129,29897,33546,38300,64418,32859,107424,96680,4696,77909,57238,28648,25215,10396,8
2021,1,D,발달상권,1001240,혜화역 대학로_1,CS300001,슈퍼마켓,1151115317 ,65714 ,73,27,17,14,14,14,14,13,13,0,14,18,30,35,3,34,52,0,13,13,14,25,20,844632804,306482513,190954804,166174765,161058411,165395491,161049333,151918463,154564050,0,160666800,205477810,346937516,402654942,35378249,388431563,598482315,3971142,151540899,152381044,165841779,283093381,230085636,47876,17838,9661,9601,9805,8921,9888,8735,9103,0,5379,11353,18749,27316,2917,22765,38983,481,12867,11690,9828,15071,11810,13
2021,1,D,발달상권,1001240,혜화역 대학로_1,CS200037,노래방,9447576 ,533 ,65,35,15,4,13,15,18,23,12,0,0,0,9,78,13,68,27,3,27,26,21,12,7,6178261,3269315,1386373,415667,1245191,1452199,1678831,2125431,1143884,0,0,0,836384,7343567,1267625,6416995,2587414,282142,2530255,2428449,1948261,1115621,699681,314,219,70,27,70,66,81,141,78,0,0,0,66,398,69,321,193,28,172,148,76,71,20,3
2021,1,D,발달상권,1001240,혜화역 대학로_1,CS200029,네일숍,7523868 ,172 ,70,30,8,11,6,24,21,3,27,0,0,17,27,46,10,10,90,0,28,11,26,25,11,5294982,2228886,624236,844554,477357,1806608,1542227,231335,1997551,0,0,1303549,2037944,3447981,734394,767441,6756427,0,2118728,807833,1916769,1872705,807833,128,44,21,25,15,33,34,11,33,0,0,30,52,86,4,18,154,0,64,22,33,45,8,1
2021,1,D,발달상권,1001240,혜화역 대학로_1,CS200028,미용실,387405244 ,7431 ,55,45,9,11,13,9,13,26,20,0,2,21,33,43,1,42,58,1,37,34,14,11,4,211839603,175565641,33950709,44248409,51020727,34042099,48577659,99474246,76091395,0,6155113,82651749,128028541,165426770,5143071,163984303,223420941,3417289,142218917,130663805,54663687,42536402,13905144,4567,2864,840,944,1018,752,1013,1566,1298,0,212,1817,2255,3099,48,4219,3212,65,2902,2496,967,737,264,5
2021,1,D,발달상권,1001240,혜화역 대학로_1,CS200024,스포츠클럽,49554417 ,242 ,100,1,31,26,17,9,16,1,0,0,9,8,6,68,9,79,11,0,25,60,0,4,0,49299573,254844,15354351,13073498,8282430,4587192,8002102,254844,0,0,4587192,3924598,2905222,33550213,4587192,39169524,5224302,0,12423645,29931429,0,2038752,0,229,13,64,63,38,26,38,13,0,0,39,25,25,127,26,204,26,0,89,115,0,25,0,2
2021,1,D,발달상권,1001240,혜화역 대학로_1,CS200016,당구장,7415892 ,445 ,61,39,16,8,6,16,15,20,19,0,0,27,15,47,11,62,38,1,40,21,14,16,9,4519918,2895974,1155203,602804,461633,1171382,1128896,1486418,1409556,0,0,2020019,1088797,3493312,813764,4609610,2806282,84812,2927384,1525988,1037384,1152743,687581,282,163,44,36,33,82,87,65,98,0,0,68,56,257,64,293,152,11,169,77,51,79,58,5
2021,1,D,발달상권,1001240,혜화역 대학로_1,CS200008,한의원,85128836 ,867 ,79,21,0,44,13,17,5,21,0,0,18,40,21,20,0,11,89,0,18,38,29,14,2,66907189,18221647,0,37149460,11356799,14070718,4330212,18221647,0,0,15696330,34302860,17994116,17135530,0,9242134,75886702,5483,15247847,32208481,24524522,11680824,1461679,597,270,0,258,70,210,59,270,0,0,16,478,165,208,0,230,637,5,258,364,87,120,33,1
2021,1,D,발달상권,1001240,혜화역 대학로_1,CS200007,치과의원,130649866 ,1239 ,94,6,12,20,20,13,29,6,0,0,7,17,71,5,0,30,70,0,31,23,20,26,1,122295557,8354309,15404655,26352138,25644596,16854159,38040009,8354309,0,0,9607627,22601526,92059163,6381550,0,39541729,91108137,147507,40746862,29797314,25544291,33475255,938637,1082,157,192,251,255,148,236,157,0,0,142,438,516,143,0,329,910,5,305,418,289,182,40,4
2021,1,D,발달상권,1001240,혜화역 대학로_1,CS200006,일반의원,740143019 ,17894 ,82,18,22,14,10,10,25,18,0,0,15,38,26,21,0,33,65,0,17,19,20,24,18,604048769,136094250,165609387,103958681,76860558,76226013,181394130,136094250,0,0,114141589,281794520,191688898,152518012,0,246086927,482362227,1934620,125139784,142767352,149933974,175802059,132871366,16204,1690,3934,3216,2645,2752,3657,1690,0,0,3709,5046,4794,4345,0,5786,12100,134,4216,4244,2889,3472,2933,6
2021,1,D,발달상권,1001240,혜화역 대학로_1,CS200003,예술학원,67544661 ,127 ,91,9,32,13,14,11,20,0,9,0,0,9,37,55,0,0,100,0,19,0,41,32,7,61233919,6310742,21890387,8973086,9466113,7099585,13804748,0,6310742,0,0,5916321,24651336,36977004,0,0,67544661,0,13015905,0,27708102,21890387,4930267,117,10,30,29,19,10,29,0,10,0,0,10,59,58,0,0,127,0,29,0,48,40,10,5
2021,1,D,발달상권,1001240,혜화역 대학로_1,CS100010,커피-음료,1229224674 ,141603 ,59,41,10,12,14,11,12,22,19,0,2,22,34,39,3,30,68,2,45,28,11,10,3,723603762,505620912,116194017,144042950,173292002,138241489,151833304,268710410,236910502,0,28305901,264397108,421170603,480593659,34757403,362890236,840804691,25287361,546971422,343251884,136405386,116611101,35167775,85695,55908,13516,17341,21357,16349,17132,29490,26418,0,6401,32278,47205,52806,2913,41039,99391,3301,64462,39903,14984,13643,4139,57
2021,1,D,발달상권,1001240,혜화역 대학로_1,CS100009,호프-간이주점,537235344 ,12667 ,60,40,10,13,12,11,15,22,18,0,0,3,3,40,54,49,50,6,53,19,12,7,2,322237953,214997391,51376068,67550921,64848030,59179194,79283740,119148143,95849248,1068007,1072750,17537023,13180167,216798845,287578552,264826483,266673444,31101874,286630200,100366380,65776216,39046703,8578553,7659,5008,1289,1503,1559,1404,1904,2685,2323,54,8,105,195,5694,6611,5891,6731,818,7043,2177,1298,1051,236,16
2021,1,D,발달상권,1001240,혜화역 대학로_1,CS100008,분식전문점,598660055 ,38512 ,64,36,10,11,14,14,15,20,16,0,1,23,21,46,9,43,51,4,34,21,16,13,5,380557446,218102609,60108484,65854455,82532189,82377425,89684893,119926063,98176546,0,8559560,136180945,126214645,274362611,53342294,255497007,302345559,20685639,201893628,128191091,98053795,78275429,30742982,25356,13156,4156,4871,5609,5160,5560,6970,6186,0,787,10696,9092,16210,1727,14328,22992,1838,15255,8985,5287,4336,1617,19
2021,1,D,발달상권,1001240,혜화역 대학로_1,CS100007,치킨전문점,134566728 ,4624 ,67,33,6,9,21,12,19,18,15,1,0,5,8,62,24,42,43,2,26,23,14,16,4,89682624,44884104,7937826,12006335,28020527,15819605,25898331,24413934,20470170,1618105,4559,6540789,10574993,83247617,32580665,56484092,58336058,3269912,35332525,30314667,18963569,21498367,5441112,3018,1606,373,523,668,545,909,836,770,87,5,245,393,2727,1167,2093,2243,126,1607,1115,642,698,147,4
