date,price
2003- 01- 01,"1,186.05"
2003- 01- 02,"1,188.50"
2003- 01- 03,"1,196.95"
2003- 01- 06,"1,185.50"
2003- 01- 07,"1,183.00"
2003- 01- 08,"1,184.00"
2003- 01- 09,"1,181.00"
2003- 01- 10,"1,179.00"
2003- 01- 13,"1,176.00"
2003- 01- 14,"1,171.00"
2003- 01- 15,"1,171.45"
2003- 01- 16,"1,169.00"
2003- 01- 17,"1,173.45"
2003- 01- 20,"1,174.35"
2003- 01- 21,"1,176.00"
2003- 01- 22,"1,178.00"
2003- 01- 23,"1,175.50"
2003- 01- 24,"1,165.50"
2003- 01- 27,"1,162.60"
2003- 01- 28,"1,171.00"
2003- 01- 29,"1,166.00"
2003- 01- 30,"1,164.00"
2003- 01- 31,"1,164.00"
2003- 02- 03,"1,181.00"
2003- 02- 04,"1,172.50"
2003- 02- 05,"1,174.25"
2003- 02- 06,"1,171.50"
2003- 02- 07,"1,184.15"
2003- 02- 10,"1,196.05"
2003- 02- 11,"1,204.00"
2003- 02- 12,"1,193.50"
2003- 02- 13,"1,202.90"
2003- 02- 14,"1,195.00"
2003- 02- 17,"1,207.25"
2003- 02- 18,"1,196.50"
2003- 02- 19,"1,198.50"
2003- 02- 20,"1,189.40"
2003- 02- 21,"1,191.50"
2003- 02- 24,"1,187.50"
2003- 02- 25,"1,189.50"
2003- 02- 26,"1,184.00"
2003- 02- 27,"1,183.50"
2003- 02- 28,"1,193.65"
2003- 03- 03,"1,183.60"
2003- 03- 04,"1,194.50"
2003- 03- 05,"1,199.15"
2003- 03- 06,"1,216.50"
2003- 03- 07,"1,218.80"
2003- 03- 10,"1,241.00"
2003- 03- 11,"1,223.65"
2003- 03- 12,"1,243.80"
2003- 03- 13,"1,240.65"
2003- 03- 14,"1,241.35"
2003- 03- 17,"1,247.65"
2003- 03- 18,"1,252.65"
2003- 03- 19,"1,257.00"
2003- 03- 20,"1,244.50"
2003- 03- 21,"1,253.00"
2003- 03- 24,"1,251.00"
2003- 03- 25,"1,250.00"
2003- 03- 26,"1,244.20"
2003- 03- 27,"1,246.95"
2003- 03- 28,"1,259.00"
2003- 03- 31,"1,251.00"
2003- 04- 01,"1,257.00"
2003- 04- 02,"1,254.70"
2003- 04- 03,"1,255.00"
2003- 04- 04,"1,257.95"
2003- 04- 07,"1,257.60"
2003- 04- 08,"1,254.00"
2003- 04- 09,"1,245.00"
2003- 04- 10,"1,229.75"
2003- 04- 11,"1,229.55"
2003- 04- 14,"1,224.00"
2003- 04- 15,"1,219.00"
2003- 04- 16,"1,213.00"
2003- 04- 17,"1,206.00"
2003- 04- 18,"1,203.90"
2003- 04- 21,"1,208.00"
2003- 04- 22,"1,217.50"
2003- 04- 23,"1,221.00"
2003- 04- 24,"1,220.45"
2003- 04- 25,"1,238.00"
2003- 04- 28,"1,221.50"
2003- 04- 29,"1,216.50"
2003- 04- 30,"1,214.50"
2003- 05- 01,"1,212.50"
2003- 05- 02,"1,212.50"
2003- 05- 05,"1,216.00"
2003- 05- 06,"1,200.00"
2003- 05- 07,"1,198.80"
2003- 05- 08,"1,198.00"
2003- 05- 09,"1,201.50"
2003- 05- 12,"1,191.50"
2003- 05- 13,"1,199.50"
2003- 05- 14,"1,197.50"
2003- 05- 15,"1,196.25"
2003- 05- 16,"1,199.85"
2003- 05- 19,"1,192.50"
2003- 05- 20,"1,201.00"
2003- 05- 21,"1,194.25"
2003- 05- 22,"1,195.30"
2003- 05- 23,"1,194.20"
2003- 05- 26,"1,199.00"
2003- 05- 27,"1,198.55"
2003- 05- 28,"1,200.45"
2003- 05- 29,"1,207.05"
2003- 05- 30,"1,209.00"
2003- 06- 02,"1,202.50"
2003- 06- 03,"1,204.00"
2003- 06- 04,"1,200.00"
2003- 06- 05,"1,200.25"
2003- 06- 09,"1,195.85"
2003- 06- 10,"1,194.35"
2003- 06- 11,"1,195.30"
2003- 06- 12,"1,193.30"
2003- 06- 13,"1,191.95"
2003- 06- 16,"1,190.20"
2003- 06- 17,"1,184.00"
2003- 06- 18,"1,186.00"
2003- 06- 19,"1,198.00"
2003- 06- 20,"1,190.55"
2003- 06- 23,"1,190.25"
2003- 06- 24,"1,192.50"
2003- 06- 25,"1,189.50"
2003- 06- 26,"1,186.70"
2003- 06- 27,"1,194.00"
2003- 06- 30,"1,195.00"
2003- 07- 01,"1,191.00"
2003- 07- 02,"1,187.15"
2003- 07- 03,"1,183.55"
2003- 07- 04,"1,180.50"
2003- 07- 07,"1,182.00"
2003- 07- 08,"1,180.20"
2003- 07- 09,"1,180.00"
2003- 07- 10,"1,178.50"
2003- 07- 11,"1,178.50"
2003- 07- 14,"1,177.00"
2003- 07- 15,"1,178.50"
2003- 07- 16,"1,179.00"
2003- 07- 17,"1,179.00"
2003- 07- 18,"1,185.00"
2003- 07- 21,"1,178.50"
2003- 07- 22,"1,182.90"
2003- 07- 23,"1,180.85"
2003- 07- 24,"1,179.70"
2003- 07- 25,"1,180.15"
2003- 07- 28,"1,184.00"
2003- 07- 29,"1,178.60"
2003- 07- 30,"1,179.90"
2003- 07- 31,"1,180.50"
2003- 08- 01,"1,183.50"
2003- 08- 04,"1,185.00"
2003- 08- 05,"1,187.00"
2003- 08- 06,"1,187.00"
2003- 08- 07,"1,184.95"
2003- 08- 08,"1,181.50"
2003- 08- 11,"1,179.00"
2003- 08- 12,"1,178.50"
2003- 08- 13,"1,179.50"
2003- 08- 14,"1,179.00"
2003- 08- 15,"1,178.00"
2003- 08- 18,"1,178.50"
2003- 08- 19,"1,179.00"
2003- 08- 20,"1,175.55"
2003- 08- 21,"1,172.50"
2003- 08- 22,"1,166.00"
2003- 08- 25,"1,170.50"
2003- 08- 26,"1,169.50"
2003- 08- 27,"1,178.50"
2003- 08- 28,"1,178.50"
2003- 08- 29,"1,174.50"
2003- 09- 01,"1,175.45"
2003- 09- 02,"1,178.50"
2003- 09- 03,"1,174.50"
2003- 09- 04,"1,175.50"
2003- 09- 05,"1,170.50"
2003- 09- 08,"1,171.00"
2003- 09- 09,"1,170.00"
2003- 09- 10,"1,168.50"
2003- 09- 11,"1,172.00"
2003- 09- 12,"1,172.00"
2003- 09- 15,"1,172.50"
2003- 09- 16,"1,170.00"
2003- 09- 17,"1,171.00"
2003- 09- 18,"1,169.00"
2003- 09- 19,"1,165.50"
2003- 09- 22,"1,148.00"
2003- 09- 23,"1,153.50"
2003- 09- 24,"1,150.45"
2003- 09- 25,"1,151.50"
2003- 09- 26,"1,149.00"
2003- 09- 29,"1,148.50"
2003- 09- 30,"1,149.00"
2003- 10- 01,"1,151.80"
2003- 10- 02,"1,148.50"
2003- 10- 03,"1,147.50"
2003- 10- 06,"1,151.45"
2003- 10- 07,"1,149.50"
2003- 10- 08,"1,149.90"
2003- 10- 09,"1,148.65"
2003- 10- 10,"1,145.50"
2003- 10- 13,"1,147.50"
2003- 10- 14,"1,174.50"
2003- 10- 15,"1,170.45"
2003- 10- 16,"1,173.50"
2003- 10- 17,"1,178.00"
2003- 10- 20,"1,181.50"
2003- 10- 21,"1,181.90"
2003- 10- 22,"1,178.50"
2003- 10- 23,"1,189.50"
2003- 10- 24,"1,185.50"
2003- 10- 27,"1,182.50"
2003- 10- 28,"1,188.50"
2003- 10- 29,"1,178.00"
2003- 10- 30,"1,178.50"
2003- 10- 31,"1,183.50"
2003- 11- 03,"1,189.50"
2003- 11- 04,"1,185.50"
2003- 11- 05,"1,185.50"
2003- 11- 06,"1,180.95"
2003- 11- 07,"1,179.50"
2003- 11- 10,"1,174.50"
2003- 11- 11,"1,177.55"
2003- 11- 12,"1,172.90"
2003- 11- 13,"1,171.50"
2003- 11- 14,"1,171.25"
