변환,kgb_1y_return,kgb_1y_volume,ktb_3m_return,ktb_3m_volume,cpi_index
2000-01,,,,"20,943.2",62.456
2000-02,8.53,,,"18,255.7",62.647
2000-03,8.35,,,"11,591.1",62.962
2000-04,8.34,,,"11,449.5",62.709
2000-05,8.34,,,"4,272.1",62.393
2000-06,8.24,,,"4,465.6",62.709
2000-07,7.56,,,"6,491.6",62.962
2000-08,7.2,,,"3,464.0",63.277
2000-09,7.26,,,"2,756.4",64.098
2000-10,7.13,"1,300.0",,"5,647.0",64.035
2000-11,6.96,"1,350.0",,"4,334.3",63.656
2000-12,6.67,135.0,,"5,103.2",63.908
2001-01,6.04,"1,450.0",,"9,565.0",64.604
2001-02,5.51,"1,270.0",,"7,075.8",64.919
2001-03,5.81,"1,100.0",,"13,206.0",65.488
2001-04,6.2,"1,800.0",,"4,987.2",65.74
2001-05,6.1,"1,300.0",,"5,472.0",65.677
2001-06,5.8,"1,100.0",,"5,878.5",65.866
2001-07,5.47,"1,200.0",,"7,431.5",65.992
2001-08,5.05,"2,010.0",,"4,982.5",66.245
2001-09,4.75,"2,270.0",,"7,780.0",66.182
2001-10,4.42,"3,780.0",,"3,700.0",66.182
2001-11,4.88,"2,350.0",,"3,390.0",65.804
2001-12,5.34,"2,200.0",,"4,565.0",65.93
2002-01,5.23,"2,800.0",,"6,990.0",66.308
2002-02,4.96,"1,300.0",,"5,000.0",66.624
2002-03,5.26,"1,900.0",,"9,125.0",67.003
2002-04,5.42,"1,680.0",,"9,785.4",67.382
2002-05,5.42,"1,860.1",,"5,675.0",67.634
2002-06,5.38,900.0,,"5,750.0",67.571
2002-07,5.34,"1,430.0",,"6,225.0",67.382
2002-08,5.04,"1,730.0",,"5,180.0",67.824
2002-09,5.03,"1,230.0",,"3,670.0",68.204
2002-10,5.14,"2,000.0",,"4,215.0",68.013
2002-11,5.04,"1,990.0",,"4,030.0",68.077
2002-12,5.03,530.0,,"4,195.0",68.391
2003-01,4.79,820.0,,"8,410.0",68.835
2003-02,4.63,"1,400.0",,"8,475.0",69.213
2003-03,4.72,"2,360.0",,"11,360.0",70.034
2003-04,4.6,"1,670.0",,"8,460.0",69.908
2003-05,4.3,"2,320.0",,"5,330.0",69.782
2003-06,4.28,"1,850.0",,"4,990.0",69.592
2003-07,4.27,"2,500.0",,"5,705.0",69.53
2003-08,4.15,"3,290.0",,"7,210.0",69.845
2003-09,4.07,"2,580.0",,"7,410.0",70.477
2003-10,4.11,"4,840.0",,"10,170.0",70.539
2003-11,4.47,"4,830.0",,"7,495.0",70.413
2003-12,4.67,"6,060.0",,"6,720.0",70.73
2004-01,4.6,"4,900.0",,"8,960.0",71.172
2004-02,4.42,"5,050.0",,"18,386.0",71.487
2004-03,4.25,"5,700.0",,"10,000.0",72.181
2004-04,4.13,"3,350.0",,"8,500.0",72.181
2004-05,4.07,"2,600.0",,"9,425.0",72.119
2004-06,4.12,"3,800.0",,"10,433.6",72.119
2004-07,4.06,"4,170.0",,"10,500.0",72.561
2004-08,3.73,"3,780.0",,"10,500.0",73.191
2004-09,3.5,"5,600.0",,"7,520.2",73.191
2004-10,3.48,"5,150.0",,"11,000.0",73.191
2004-11,3.34,"6,280.0",,"15,994.0",72.75
2004-12,3.28,"5,570.0",,"13,503.7",72.877
2005-01,3.48,"8,270.0",,"10,830.0",73.594
2005-02,3.48,"3,030.0",,"22,615.0",73.892
2005-03,3.82,"3,790.0",,"31,830.3",74.338
2005-04,3.71,"4,960.0",,"12,380.0",74.413
2005-05,3.6,"5,120.0",,"9,190.0",74.338
2005-06,3.66,"5,120.0",,"10,080.0",74.114
2005-07,3.77,"5,040.0",,"13,430.0",74.413
2005-08,3.88,"5,200.0",,"12,890.0",74.636
2005-09,4.19,"5,850.0",,"10,450.0",75.008
2005-10,4.44,"5,760.0",,"10,070.0",74.859
2005-11,4.57,"5,770.0",,"13,350.0",74.561
2005-12,4.67,"4,640.0",,"8,010.0",74.785
2006-01,4.62,"5,500.0",,"13,340.0",75.231
2006-02,4.57,"5,980.0",,"14,968.7",75.381
2006-03,4.57,"5,942.2",,"12,050.0",75.827
2006-04,4.61,"5,927.5",,"8,260.0",75.902
2006-05,4.59,"5,730.2",,"12,730.0",76.05
2006-06,4.7,"5,443.3",,"11,530.0",75.902
2006-07,4.82,"5,533.0",,"11,970.0",76.199
2006-08,4.76,"5,261.0",,"15,950.0",76.645
2006-09,4.68,"5,388.0",4.55,"16,780.0",76.868
2006-10,4.64,"4,090.0",4.56,"12,000.0",76.496
2006-11,4.7,"3,271.0",4.58,"12,620.0",76.125
