날짜,kospi close,kospi volume
2000-01,943.88,4798388370
2000-02,828.38,5144655090
2000-03,860.94,6536471750
2000-04,725.39,4113526020
2000-05,731.88,4940346440
2000-06,821.22,8784222920
2000-07,705.97,8758613310
2000-08,688.62,6026628840
2000-09,613.22,5462448230
2000-10,514.48,6671460320
2000-11,509.23,7349292570
2000-12,504.62,5199282270
2001-01,617.91,9507759651
2001-02,578.1,7515527499
2001-03,523.22,7841636887
2001-04,577.36,7084827886
2001-05,612.16,11805517362
2001-06,595.13,7277410176
2001-07,541.55,5648159306
2001-08,545.11,9651657964
2001-09,479.68,12162080702
2001-10,537.81,10307000081
2001-11,643.89,16016717497
2001-12,693.7,11599022674
2002-01,748.07,15760374444
2002-02,819.99,10888093020
2002-03,895.58,13127628521
2002-04,842.34,14740065022
2002-05,796.4,15248550789
2002-06,742.72,12999081774
2002-07,717.99,30546183102
2002-08,736.4,23262343539
2002-09,646.42,13634167762
2002-10,658.92,22582172723
2002-11,724.8,20690226943
2002-12,627.55,15688908496
2003-01,591.86,12593205050
2003-02,575.43,11616753045
2003-03,535.7,14942249679
2003-04,599.35,15513386315
2003-05,633.42,9592714942
2003-06,669.93,9797244501
2003-07,713.52,12007735129
2003-08,759.47,9216247185
2003-09,697.52,8046888114
2003-10,782.36,10159918856
2003-11,796.18,11213644198
2003-12,810.71,9176440194
2004-01,848.5,7632931088
2004-02,883.42,9659507509
2004-03,880.5,9651691834
2004-04,862.84,8779621983
2004-05,803.84,6750964826
2004-06,785.79,8415889090
2004-07,735.34,7889225026
2004-08,803.57,6940374141
2004-09,835.09,7206397764
2004-10,834.84,6807124647
2004-11,878.06,6406630826
2004-12,895.92,6710411551
2005-01,932.7,8288867148
2005-02,1011.36,8563857690
2005-03,965.68,13025550679
2005-04,911.3,8541384533
2005-05,970.21,6670695053
2005-06,1008.16,8515533976
2005-07,1111.29,13622230221
2005-08,1083.33,9665785189
2005-09,1221.01,9193300255
2005-10,1158.11,9704152277
2005-11,1297.44,10318911932
2005-12,1379.37,10329465137
2006-01,1399.83,10209717340
2006-02,1371.59,7212316140
2006-03,1359.6,7134089015
2006-04,1419.73,6887219165
2006-05,1317.7,5300468462
2006-06,1295.15,4457237502
2006-07,1297.82,3763931817
2006-08,1352.74,4513439843
2006-09,1371.41,5243395864
2006-10,1364.55,4807195500
2006-11,1432.21,5149555169
2006-12,1434.46,4258216949
2007-01,1360.23,4240094659
2007-02,1417.34,4381106517
2007-03,1452.55,5811739412
2007-04,1542.24,7849449106
2007-05,1700.91,8742764548
2007-06,1743.6,10039698736
2007-07,1933.27,10323637365
2007-08,1873.24,8622321758
2007-09,1946.48,6978101739
2007-10,2064.85,9678595810
2007-11,1906.0,7386741896
2007-12,1897.13,5451822982
2008-01,1624.68,6330309883
2008-02,1711.62,5773574363
2008-03,1703.99,6081649198
2008-04,1825.47,6138616838
2008-05,1852.02,5927241392
2008-06,1674.92,6315615695
2008-07,1594.67,6807334522
2008-08,1474.24,4787341820
2008-09,1448.06,8267208158
2008-10,1113.06,10082967809
2008-11,1076.07,11203328814
2008-12,1124.47,10433874731
2009-01,1162.11,7225877902
2009-02,1063.03,10348656360
2009-03,1206.26,11494816841
2009-04,1369.36,16145462806
2009-05,1395.89,13628936290
2009-06,1390.07,11062188450
2009-07,1557.29,10660509944
2009-08,1591.85,10752935664
2009-09,1673.14,10569566040
2009-10,1580.69,7699489766
2009-11,1555.6,5911530860
2009-12,1682.77,7371315280
2010-01,1602.43,9198261139
2010-02,1594.58,7218121684
2010-03,1692.85,9195168117
2010-04,1741.56,9306220950
2010-05,1641.25,7575636433
2010-06,1698.29,7103622585
2010-07,1759.33,8048091640
2010-08,1742.75,7286103193
2010-09,1872.81,6323707615
2010-10,1882.95,7793686967
2010-11,1904.63,7768852431
2010-12,2051.0,8778235252
2011-01,2069.73,8198079720
2011-02,1939.3,5354980362
2011-03,2106.7,6618839798
2011-04,2192.36,7719731054
2011-05,2142.47,6219729462
2011-06,2100.69,5472902687
2011-07,2133.21,6595203861
2011-08,1880.11,9609850812
2011-09,1769.65,7688867103
2011-10,1909.03,7305435174
2011-11,1847.51,7829883788
2011-12,1825.74,9118909356
2012-01,1955.79,8596087354
2012-02,2030.25,13202088993
2012-03,2014.04,10434651843
2012-04,1981.99,10647344379
2012-05,1843.47,10022309404
2012-06,1854.01,7462676963
2012-07,1881.99,8280468942
2012-08,1905.12,9802758338
2012-09,1996.21,15066407506
2012-10,1912.06,10136609145
2012-11,1932.9,9848706476
2012-12,1997.05,7146814037
2013-01,1961.94,10904399834
2013-02,2026.49,7307563463
2013-03,2004.89,6856629708
2013-04,1963.95,7694367824
2013-05,2001.05,6586990491
2013-06,1863.32,5605481248
2013-07,1914.03,7603760678
2013-08,1926.36,7039963220
2013-09,1996.96,5085117680
2013-10,2030.09,5704775166
2013-11,2044.87,6103860944
2013-12,2011.34,4603476207
2014-01,1941.15,5094964760
2014-02,1979.99,4482220100
2014-03,1985.61,4969832104
2014-04,1961.79,4689895475
2014-05,1994.96,4285616189
2014-06,2002.21,4602084429
2014-07,2076.12,6982981487
2014-08,2068.54,6081534911
2014-09,2020.09,6541942310
2014-10,1964.43,7389479340
2014-11,1980.78,6296656603
2014-12,1915.59,6712881734
2015-01,1949.26,6845805102
2015-02,1985.8,5913355980
2015-03,2041.03,8511830078
2015-04,2127.17,11582852814
2015-05,2114.8,7388813680
2015-06,2074.2,9174692576
2015-07,2030.16,13372267831
2015-08,1941.49,8368886020
2015-09,1962.81,10051533042
2015-10,2029.47,13186506655
2015-11,1991.97,8998662005
2015-12,1961.31,9508193190
2016-01,1912.06,7301544849
2016-02,1916.66,6189329878
2016-03,1995.85,7747195885
2016-04,1994.15,7973516371
2016-05,1983.4,9650547747
2016-06,1970.35,9815343034
2016-07,2016.19,8068033728
2016-08,2034.65,7805243200
2016-09,2043.63,8851698777
2016-10,2008.19,6637063397
2016-11,1983.48,6610609333
2016-12,2026.46,6035914893
2017-01,2067.57,8424323255
2017-02,2091.64,7128934172
2017-03,2160.23,8869997309
2017-04,2205.44,7729441990
2017-05,2347.38,7028331103
2017-06,2391.79,7483888294
2017-07,2402.71,6225326968
2017-08,2363.19,5723885962
2017-09,2394.47,5842712235
2017-10,2523.43,5051619002
2017-11,2476.37,7474555595
2017-12,2467.49,5748026490
2018-01,2566.46,8253530594
2018-02,2427.36,7281216250
2018-03,2445.85,8078904661
2018-04,2515.38,10439849786
2018-05,2423.01,12820544339
2018-06,2326.13,9450856204
2018-07,2295.26,7509557921
2018-08,2322.88,6204573096
2018-09,2343.07,5433226207
2018-10,2029.69,7022096257
2018-11,2096.86,6978958763
2018-12,2041.04,7631879180
2019-01,2204.85,9455197243
2019-02,2195.44,6882554315
2019-03,2140.67,6458055507
2019-04,2203.59,9689748201
2019-05,2041.74,11242891618
2019-06,2130.62,11256687016
2019-07,2024.55,11908954060
2019-08,1967.79,10472131195
2019-09,2063.05,8620782748
2019-10,2083.48,8884391876
2019-11,2087.96,10737647300
2019-12,2197.67,10188752704
2020-01,2119.01,13096066333
2020-02,1987.01,13959766513
2020-03,1754.64,17091025314
2020-04,1947.56,21045120912
2020-05,2029.6,16206496902
2020-06,2108.33,19863704134
2020-07,2249.37,18866786790
2020-08,2326.17,17643123574
2020-09,2327.89,19606896975
2020-10,2267.15,15705576987
2020-11,2591.34,24377964949
2020-12,2873.47,24561049328
2021-01,2976.21,26093976278
2021-02,3012.95,30029597466
2021-03,3061.42,27901981044
2021-04,3147.86,31066511618
2021-05,3203.92,18790315271
2021-06,3296.68,35354542874
2021-07,3202.32,22117057112
2021-08,3199.27,13800929905
2021-09,3068.82,14269522234
2021-10,2970.68,13911734997
2021-11,2839.01,13789073481
2021-12,2977.65,10665615343
2022-01,2663.34,10925620515
2022-02,2699.18,10117938499
2022-03,2757.65,14407387495
2022-04,2695.05,22025887930
2022-05,2685.9,16868003801
2022-06,2332.64,12014671402
2022-07,2451.5,7955652326
2022-08,2472.05,9767925852
2022-09,2155.49,9375488477
2022-10,2293.61,11774296522
2022-11,2472.53,12748764620
2022-12,2236.4,8436756930
2023-01,2425.08,9416084339
2023-02,2412.85,9658016131
2023-03,2476.86,10078349704
